_id,score,magnitude,date
936871556705263617,0,0.1,1512202560007
936871558408060928,0.1,0.1,1512202560413
936871559699955713,-0.1,0.5,1512202560721
936871559309942786,0.1,0.1,1512202560628
936871560555712512,0,0,1512202560925
936871561843240960,0,0,1512202561232
936871562090651649,0.1,0.2,1512202561291
936876738369302528,0,0.1,1512203795412
936876744073605120,0,0.3,1512203796772
936876747441586176,0,0,1512203797575
936876744694317057,0.2,1.1,1512203796920
936876748599259141,0,0.1,1512203797851
936876748905504768,0.2,0.4,1512203797924
936876750172127232,0.8,1.6,1512203798226
936876751401054208,0.7,0.7,1512203798519
936876752667795457,0.1,0.1,1512203798821
936876753288491008,-0.4,0.4,1512203798969
936876753930264576,0,0.3,1512203799122
936876755846959106,0,0.3,1512203799579
936876756883070983,0.4,1.3,1512203799826
936876758166413312,0,0.3,1512203800132
936876758480986114,0,0.1,1512203800207
936876760364236800,0,0.3,1512203800656
936876762998251520,0.2,0.2,1512203801284
936876766152372224,0.1,0.6,1512203802036
936876767301660672,0.8,1.6,1512203802310
936876769646276608,0.1,0.2,1512203802869
936876769994424321,0,0.3,1512203802952
936876769813999621,0,0.3,1512203802909
936876770568970240,0,0.6,1512203803089
936876771013574656,0,0.1,1512203803195
936876771059707904,0.1,0.3,1512203803206
936876772259278848,0,0.3,1512203803492
936876773089804288,0,0.3,1512203803690
936876773240737792,0,0.3,1512203803726
936876774176071680,0.1,0.1,1512203803949
936876774025072641,0.3,0.6,1512203803913
936876774566248448,0,0,1512203804042
936876776277516288,0,0.3,1512203804450
936877195770806272,0,0.5,1512203904465
936877195959472128,0.4,0.4,1512203904510
936877196412567552,0.1,0.1,1512203904618
936877196660031488,0,0.3,1512203904677
936877197649960960,0.1,0.1,1512203904913
936877199721865216,0.1,0.7,1512203905407
936877200237666305,0,0.1,1512203905530
936877201735106560,-0.3,0.3,1512203905887
936877201374330880,0.3,0.3,1512203905801
936877205891694592,0.2,0.5,1512203906878
936877206373986304,0,0.3,1512203906993
936877206768193536,0.3,0.3,1512203907087
936877207540047872,0,0.3,1512203907271
936877207854628864,0.2,0.2,1512203907346
936877208483667970,0,0.3,1512203907496
936877205832982531,-0.1,0.5,1512203906864
936877208081010688,0.1,0.3,1512203907400
936877209574187008,0.2,0.2,1512203907756
936877209997819904,0.1,0.1,1512203907857
936877218554290176,0,0.3,1512203909897
936877220127170560,0,0,1512203910272
936877222320734208,0,0.3,1512203910795
936877223432282112,-0.5,0.5,1512203911060
936877224929529857,0,0.3,1512203911417
936877484254969856,0,0.9,1512203973245
936877483864948740,0,0.3,1512203973152
936877485571969025,0.4,0.4,1512203973559
936877485643284480,0,0.3,1512203973576
936877493272719361,-0.1,0.2,1512203975395
936877493906153473,0.1,0.2,1512203975546
936877495495704576,0.2,0.2,1512203975925
936877498649817088,0.2,0.7,1512203976677
936877498498818050,0,0.3,1512203976641
936877503938830336,0,0.3,1512203977938
936877505624936448,0,0.1,1512203978340
936877506556129280,0,0.1,1512203978562
936877506996584449,0,0,1512203978667
936877511891230720,0.1,0.3,1512203979834
936877512872701952,0,0.3,1512203980068
936877513048862721,0,1.2,1512203980110
936877515523604481,0,0.3,1512203980700
936877513971613696,0.2,1.1,1512203980330
936877519504007169,0,0.3,1512203981649
936877520481161217,0.3,1,1512203981882
936877521231945728,-0.3,0.3,1512203982061
936877523186565122,-0.4,0.8,1512203982527
936877523673145347,0,0.1,1512203982643
936877524121874434,0,0.3,1512203982750
936877523157245953,0.2,1.1,1512203982520
936877526479093761,0.1,0.3,1512203983312
936877527691182080,0.2,0.2,1512203983601
936877532208492545,0.1,0.3,1512203984678
936877532535701506,-0.1,0.1,1512203984756
936877535480000512,-0.5,0.5,1512203985458
936877536620843009,0,0.3,1512203985730
936877538512584705,0,0.3,1512203986181
936877543130513409,0,0.3,1512203987282
936877543172345858,0,0.1,1512203987292
936877544862658561,0,0.3,1512203987695
